set,path,label,xmin,ymin,xmax,ymax
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.17064d88eaaafdb3ff8266a71be9031b.jpg,CubeYellow,0.629807692,0.088942308,0.742788462,0.221153846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.17064d88eaaafdb3ff8266a71be9031b.jpg,CubeBlue,0.490384615,0.108173077,0.591346154,0.228365385
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.17064d88eaaafdb3ff8266a71be9031b.jpg,CubeBlue,0.336538462,0.117788462,0.449519231,0.242788462
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.17064d88eaaafdb3ff8266a71be9031b.jpg,CubeBlue,0.185096154,0.127403846,0.307692308,0.254807692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.5b166777bf61cddd51b08bfb0b1f0375.jpg,CubeRed,0.617788462,0.372596154,0.735576923,0.502403846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.5b166777bf61cddd51b08bfb0b1f0375.jpg,CubeYellow,0.480769231,0.389423077,0.581730769,0.516826923
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.5b166777bf61cddd51b08bfb0b1f0375.jpg,CubeYellow,0.341346154,0.394230769,0.444711538,0.526442308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.5b166777bf61cddd51b08bfb0b1f0375.jpg,CubeRed,0.197115385,0.411057692,0.3125,0.53125
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.5b166777bf61cddd51b08bfb0b1f0375.jpg,CubeRed,0.189903846,0.653846154,0.314903846,0.802884615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.5b166777bf61cddd51b08bfb0b1f0375.jpg,CubeBlue,0.754807692,0.076923077,0.896634615,0.204326923
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.5b166777bf61cddd51b08bfb0b1f0375.jpg,CubeYellow,0.627403846,0.084134615,0.740384615,0.216346154
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.5b166777bf61cddd51b08bfb0b1f0375.jpg,CubeBlue,0.487980769,0.103365385,0.588942308,0.225961538
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.5b166777bf61cddd51b08bfb0b1f0375.jpg,CubeBlue,0.336538462,0.117788462,0.444711538,0.240384615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.5b166777bf61cddd51b08bfb0b1f0375.jpg,CubeBlue,0.182692308,0.125,0.305288462,0.252403846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderBlue,0.766826923,0.161057692,0.846153846,0.259615385
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderBlue,0.317307692,0.161057692,0.391826923,0.266826923
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderBlue,0.492788462,0.163461538,0.576923077,0.271634615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderBlue,0.581730769,0.163461538,0.665865385,0.269230769
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderRed,0.490384615,0.283653846,0.569711538,0.387019231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderRed,0.3125,0.286057692,0.391826923,0.387019231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderRed,0.401442308,0.286057692,0.478365385,0.387019231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderGurney,0.3125,0.403846154,0.389423077,0.497596154
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderYellow,0.572115385,0.399038462,0.651442308,0.504807692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderRed,0.754807692,0.401442308,0.836538462,0.5
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderBlue,0.399038462,0.403846154,0.478365385,0.504807692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderGurney,0.661057692,0.401442308,0.742788462,0.507211538
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderYellow,0.307692308,0.519230769,0.384615385,0.617788462
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderYellow,0.394230769,0.521634615,0.473557692,0.620192308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderYellow,0.480769231,0.524038462,0.560096154,0.620192308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderGurney,0.567307692,0.524038462,0.644230769,0.622596154
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderGurney,0.473557692,0.632211538,0.555288462,0.728365385
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderYellow,0.307692308,0.634615385,0.382211538,0.728365385
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderGurney,0.391826923,0.634615385,0.471153846,0.728365385
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage4_jpg.rf.481a8e974f9365b4258b55b3d53409e8.jpg,OrderRed,0.649038462,0.639423077,0.728365385,0.737980769
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.2747c6b86580f1d8760d783d39f2e6d8.jpg,CubeRed,0.622596154,0.442307692,0.725961538,0.555288462
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.2747c6b86580f1d8760d783d39f2e6d8.jpg,CubeYellow,0.502403846,0.449519231,0.584134615,0.557692308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.2747c6b86580f1d8760d783d39f2e6d8.jpg,CubeYellow,0.377403846,0.444711538,0.466346154,0.557692308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.2747c6b86580f1d8760d783d39f2e6d8.jpg,CubeRed,0.252403846,0.447115385,0.34375,0.557692308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.2747c6b86580f1d8760d783d39f2e6d8.jpg,CubeRed,0.25,0.670673077,0.358173077,0.795673077
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.2747c6b86580f1d8760d783d39f2e6d8.jpg,CubeBlue,0.742788462,0.189903846,0.850961538,0.300480769
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.2747c6b86580f1d8760d783d39f2e6d8.jpg,CubeYellow,0.622596154,0.192307692,0.71875,0.302884615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.2747c6b86580f1d8760d783d39f2e6d8.jpg,CubeBlue,0.5,0.197115385,0.584134615,0.305288462
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.2747c6b86580f1d8760d783d39f2e6d8.jpg,CubeBlue,0.362980769,0.194711538,0.461538462,0.307692308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.2747c6b86580f1d8760d783d39f2e6d8.jpg,CubeBlue,0.228365385,0.199519231,0.334134615,0.307692308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.4c5037e646909a293003f3609c462d3f.jpg,CubeRed,0.612980769,0.413461538,0.713942308,0.521634615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.4c5037e646909a293003f3609c462d3f.jpg,CubeYellow,0.492788462,0.425480769,0.572115385,0.53125
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.4c5037e646909a293003f3609c462d3f.jpg,CubeYellow,0.367788462,0.427884615,0.454326923,0.536057692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.4c5037e646909a293003f3609c462d3f.jpg,CubeRed,0.240384615,0.432692308,0.334134615,0.545673077
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.4c5037e646909a293003f3609c462d3f.jpg,CubeRed,0.237980769,0.658653846,0.336538462,0.78125
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.4c5037e646909a293003f3609c462d3f.jpg,CubeBlue,0.737980769,0.153846154,0.84375,0.264423077
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.4c5037e646909a293003f3609c462d3f.jpg,CubeYellow,0.617788462,0.163461538,0.711538462,0.271634615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.4c5037e646909a293003f3609c462d3f.jpg,CubeBlue,0.495192308,0.173076923,0.576923077,0.278846154
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.4c5037e646909a293003f3609c462d3f.jpg,CubeBlue,0.360576923,0.177884615,0.451923077,0.286057692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image_jpg.rf.4c5037e646909a293003f3609c462d3f.jpg,CubeBlue,0.223557692,0.185096154,0.329326923,0.295673077
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.498648310d00e8e92bca4d935a8759c6.jpg,CubeRed,0.625,0.394230769,0.740384615,0.521634615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.498648310d00e8e92bca4d935a8759c6.jpg,CubeYellow,0.485576923,0.40625,0.586538462,0.53125
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.498648310d00e8e92bca4d935a8759c6.jpg,CubeYellow,0.346153846,0.40625,0.449519231,0.536057692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.498648310d00e8e92bca4d935a8759c6.jpg,CubeRed,0.199519231,0.418269231,0.319711538,0.540865385
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.498648310d00e8e92bca4d935a8759c6.jpg,CubeRed,0.199519231,0.663461538,0.322115385,0.810096154
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.498648310d00e8e92bca4d935a8759c6.jpg,CubeBlue,0.759615385,0.103365385,0.896634615,0.225961538
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.498648310d00e8e92bca4d935a8759c6.jpg,CubeYellow,0.627403846,0.103365385,0.742788462,0.237980769
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.498648310d00e8e92bca4d935a8759c6.jpg,CubeBlue,0.490384615,0.120192308,0.588942308,0.240384615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.498648310d00e8e92bca4d935a8759c6.jpg,CubeBlue,0.336538462,0.127403846,0.447115385,0.252403846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.498648310d00e8e92bca4d935a8759c6.jpg,CubeBlue,0.185096154,0.134615385,0.305288462,0.259615385
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderBlue,0.682692308,0.15625,0.766826923,0.257211538
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderBlue,0.5,0.173076923,0.584134615,0.271634615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderBlue,0.408653846,0.180288462,0.495192308,0.28125
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderBlue,0.235576923,0.192307692,0.314903846,0.293269231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderRed,0.420673077,0.300480769,0.502403846,0.403846154
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderRed,0.326923077,0.307692308,0.411057692,0.399038462
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderRed,0.240384615,0.310096154,0.324519231,0.415865385
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderRed,0.697115385,0.403846154,0.776442308,0.504807692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderGurney,0.608173077,0.411057692,0.685096154,0.512019231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderYellow,0.514423077,0.411057692,0.596153846,0.514423077
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderBlue,0.338942308,0.427884615,0.418269231,0.528846154
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderGurney,0.25,0.432692308,0.331730769,0.526442308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderGurney,0.519230769,0.53125,0.600961538,0.641826923
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderYellow,0.34375,0.540865385,0.427884615,0.641826923
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderYellow,0.432692308,0.538461538,0.514423077,0.644230769
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderYellow,0.259615385,0.550480769,0.34375,0.646634615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderRed,0.610576923,0.644230769,0.697115385,0.747596154
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderGurney,0.442307692,0.653846154,0.519230769,0.754807692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderGurney,0.350961538,0.65625,0.4375,0.759615385
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image8_jpg.rf.2d6776fdda10e3d23fbaa941fa916019.jpg,OrderYellow,0.266826923,0.661057692,0.348557692,0.759615385
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage2_jpg.rf.183c3057e586362d3ba2452659794395.jpg,CubeRed,0.622596154,0.377403846,0.737980769,0.502403846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage2_jpg.rf.183c3057e586362d3ba2452659794395.jpg,CubeYellow,0.480769231,0.387019231,0.586538462,0.512019231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage2_jpg.rf.183c3057e586362d3ba2452659794395.jpg,CubeYellow,0.34375,0.396634615,0.444711538,0.524038462
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage2_jpg.rf.183c3057e586362d3ba2452659794395.jpg,CubeRed,0.201923077,0.40625,0.314903846,0.533653846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage2_jpg.rf.183c3057e586362d3ba2452659794395.jpg,CubeRed,0.201923077,0.653846154,0.317307692,0.800480769
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage2_jpg.rf.183c3057e586362d3ba2452659794395.jpg,CubeBlue,0.759615385,0.079326923,0.887019231,0.204326923
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage2_jpg.rf.183c3057e586362d3ba2452659794395.jpg,CubeYellow,0.627403846,0.091346154,0.740384615,0.221153846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage2_jpg.rf.183c3057e586362d3ba2452659794395.jpg,CubeBlue,0.485576923,0.105769231,0.586538462,0.230769231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage2_jpg.rf.183c3057e586362d3ba2452659794395.jpg,CubeBlue,0.336538462,0.115384615,0.444711538,0.242788462
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage2_jpg.rf.183c3057e586362d3ba2452659794395.jpg,CubeBlue,0.1875,0.127403846,0.307692308,0.247596154
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.302db9b2d27df627144ae405521ed833.jpg,CubeRed,0.625,0.365384615,0.745192308,0.5
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.302db9b2d27df627144ae405521ed833.jpg,CubeYellow,0.490384615,0.387019231,0.588942308,0.514423077
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.302db9b2d27df627144ae405521ed833.jpg,CubeYellow,0.353365385,0.391826923,0.449519231,0.521634615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.302db9b2d27df627144ae405521ed833.jpg,CubeRed,0.204326923,0.40625,0.322115385,0.53125
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.302db9b2d27df627144ae405521ed833.jpg,CubeRed,0.204326923,0.653846154,0.324519231,0.800480769
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.302db9b2d27df627144ae405521ed833.jpg,CubeBlue,0.759615385,0.072115385,0.899038462,0.199519231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.302db9b2d27df627144ae405521ed833.jpg,CubeYellow,0.629807692,0.081730769,0.742788462,0.213942308
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.302db9b2d27df627144ae405521ed833.jpg,CubeBlue,0.487980769,0.098557692,0.59375,0.225961538
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.302db9b2d27df627144ae405521ed833.jpg,CubeBlue,0.336538462,0.112980769,0.449519231,0.240384615
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\testimage3_jpg.rf.302db9b2d27df627144ae405521ed833.jpg,CubeBlue,0.1875,0.125,0.305288462,0.25
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image6_jpg.rf.2d92e66527dbd3ae4b07fa8aa6c9533a.jpg,OrderBlue,0.668269231,0.286057692,0.733173077,0.377403846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image6_jpg.rf.2d92e66527dbd3ae4b07fa8aa6c9533a.jpg,OrderBlue,0.516826923,0.288461538,0.584134615,0.377403846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image6_jpg.rf.2d92e66527dbd3ae4b07fa8aa6c9533a.jpg,OrderBlue,0.439903846,0.288461538,0.509615385,0.379807692
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image6_jpg.rf.2d92e66527dbd3ae4b07fa8aa6c9533a.jpg,OrderBlue,0.288461538,0.290865385,0.358173077,0.377403846
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image6_jpg.rf.2d92e66527dbd3ae4b07fa8aa6c9533a.jpg,OrderRed,0.4375,0.389423077,0.502403846,0.483173077
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image6_jpg.rf.2d92e66527dbd3ae4b07fa8aa6c9533a.jpg,OrderRed,0.362980769,0.394230769,0.430288462,0.475961538
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image6_jpg.rf.2d92e66527dbd3ae4b07fa8aa6c9533a.jpg,OrderRed,0.286057692,0.394230769,0.353365385,0.480769231
TRAIN,C:\Users\User\Documents\GitHub\tensorflow-test\datasets\V1\Combined\image6_jpg.rf.2d92e66527dbd3ae4b07fa8aa6c9533a.jpg,OrderRed,0.663461538,0.485576923,0.737980769,0.579326923
